273600.00s | Vermelho | Pos: (-3.10e+11, 5.63e+09) | Vel: (6.80e+02, 2.01e+04) | Acel: (2.46e-03, 3.93e-04)
273600.00s | Verde | Pos: (9.97e+10, 5.80e+09) | Vel: (-1.80e+03, 2.13e+04) | Acel: (-6.55e-03, 4.38e-03)
273600.00s | Azul | Pos: (-6.83e+09, 9.97e+10) | Vel: (-2.37e+04, -2.13e+03) | Acel: (4.91e-03, -7.36e-03)
280800.00s | Vermelho | Pos: (-3.10e+11, 5.78e+09) | Vel: (6.98e+02, 2.01e+04) | Acel: (2.46e-03, 3.93e-04)
280800.00s | Verde | Pos: (9.97e+10, 5.96e+09) | Vel: (-1.85e+03, 2.13e+04) | Acel: (-6.56e-03, 4.37e-03)
280800.00s | Azul | Pos: (-7.00e+09, 9.97e+10) | Vel: (-2.36e+04, -2.19e+03) | Acel: (4.92e-03, -7.35e-03)
288000.00s | Vermelho | Pos: (-3.10e+11, 5.92e+09) | Vel: (7.16e+02, 2.01e+04) | Acel: (2.46e-03, 3.94e-04)
288000.00s | Verde | Pos: (9.97e+10, 6.11e+09) | Vel: (-1.90e+03, 2.13e+04) | Acel: (-6.56e-03, 4.37e-03)
288000.00s | Azul | Pos: (-7.17e+09, 9.97e+10) | Vel: (-2.36e+04, -2.24e+03) | Acel: (4.92e-03, -7.34e-03)
295200.00s | Vermelho | Pos: (-3.10e+11, 6.07e+09) | Vel: (7.33e+02, 2.01e+04) | Acel: (2.46e-03, 3.94e-04)
295200.00s | Verde | Pos: (9.97e+10, 6.26e+09) | Vel: (-1.95e+03, 2.14e+04) | Acel: (-6.57e-03, 4.36e-03)
295200.00s | Azul | Pos: (-7.34e+09, 9.96e+10) | Vel: (-2.35e+04, -2.29e+03) | Acel: (4.93e-03, -7.32e-03)
302400.00s | Vermelho | Pos: (-3.10e+11, 6.21e+09) | Vel: (7.51e+02, 2.01e+04) | Acel: (2.47e-03, 3.94e-04)
302400.00s | Verde | Pos: (9.97e+10, 6.42e+09) | Vel: (-1.99e+03, 2.14e+04) | Acel: (-6.58e-03, 4.35e-03)
302400.00s | Azul | Pos: (-7.51e+09, 9.96e+10) | Vel: (-2.35e+04, -2.35e+03) | Acel: (4.94e-03, -7.31e-03)
309600.00s | Vermelho | Pos: (-3.10e+11, 6.36e+09) | Vel: (7.69e+02, 2.01e+04) | Acel: (2.47e-03, 3.94e-04)
309600.00s | Verde | Pos: (9.97e+10, 6.57e+09) | Vel: (-2.04e+03, 2.14e+04) | Acel: (-6.58e-03, 4.34e-03)
309600.00s | Azul | Pos: (-7.68e+09, 9.96e+10) | Vel: (-2.35e+04, -2.40e+03) | Acel: (4.94e-03, -7.30e-03)
316800.00s | Vermelho | Pos: (-3.10e+11, 6.50e+09) | Vel: (7.87e+02, 2.01e+04) | Acel: (2.47e-03, 3.94e-04)
316800.00s | Verde | Pos: (9.97e+10, 6.73e+09) | Vel: (-2.09e+03, 2.15e+04) | Acel: (-6.59e-03, 4.33e-03)
316800.00s | Azul | Pos: (-7.84e+09, 9.96e+10) | Vel: (-2.34e+04, -2.45e+03) | Acel: (4.95e-03, -7.29e-03)
324000.00s | Vermelho | Pos: (-3.10e+11, 6.65e+09) | Vel: (8.04e+02, 2.01e+04) | Acel: (2.47e-03, 3.94e-04)
324000.00s | Verde | Pos: (9.96e+10, 6.88e+09) | Vel: (-2.14e+03, 2.15e+04) | Acel: (-6.60e-03, 4.32e-03)
324000.00s | Azul | Pos: (-8.01e+09, 9.96e+10) | Vel: (-2.34e+04, -2.50e+03) | Acel: (4.95e-03, -7.27e-03)
331200.00s | Vermelho | Pos: (-3.10e+11, 6.79e+09) | Vel: (8.22e+02, 2.01e+04) | Acel: (2.47e-03, 3.94e-04)
331200.00s | Verde | Pos: (9.96e+10, 7.04e+09) | Vel: (-2.18e+03, 2.15e+04) | Acel: (-6.60e-03, 4.31e-03)
331200.00s | Azul | Pos: (-8.18e+09, 9.96e+10) | Vel: (-2.34e+04, -2.56e+03) | Acel: (4.96e-03, -7.26e-03)
338400.00s | Vermelho | Pos: (-3.10e+11, 6.94e+09) | Vel: (8.40e+02, 2.01e+04) | Acel: (2.47e-03, 3.95e-04)
338400.00s | Verde | Pos: (9.96e+10, 7.19e+09) | Vel: (-2.23e+03, 2.16e+04) | Acel: (-6.61e-03, 4.31e-03)
338400.00s | Azul | Pos: (-8.35e+09, 9.95e+10) | Vel: (-2.33e+04, -2.61e+03) | Acel: (4.97e-03, -7.25e-03)
345600.00s | Vermelho | Pos: (-3.10e+11, 7.08e+09) | Vel: (8.58e+02, 2.01e+04) | Acel: (2.48e-03, 3.95e-04)
345600.00s | Verde | Pos: (9.96e+10, 7.35e+09) | Vel: (-2.28e+03, 2.16e+04) | Acel: (-6.62e-03, 4.30e-03)
345600.00s | Azul | Pos: (-8.52e+09, 9.95e+10) | Vel: (-2.33e+04, -2.66e+03) | Acel: (4.97e-03, -7.24e-03)
